form	volume	scan	headword_ocr	printed
bacharfoth	bsb10314207	244	Zu Mitternacht .	bacharfoth
bachfrag	bsb10314207	183	Wickeln .	bachfrag
bachofcheth	bsb11762465	341	Düfterlich .	bachofcheth
bachoreph	bsb10314207	266	Im Herbste .	bachoreph
bachthanah	bsb11762465	267	Brunk .	bachthanah
bachur	bsb11762465	136	Auserkoren .	bachur
bacum	bsb11762465	288	Dachs .	bacum
badad	bsb11762465	77	Allein .	badad
badah	bsb11762465	929	Nichtachten .	badah
badak	bsb11762465	479	Fr	badak
badal	bsb10314207	23	Trennen .	badal
baddim	bsb11762465	854	Lü	baddim
badfah	bsb10314207	41	Ve	badfah
badfar	bsb11762465	145	Aufſpreiten .	badfar
